Launching API Gateway in EMT mode...
Setting Java heap size to 1024 MB
INFO    08/Mar/2022:01:09:42.697 [0001:000000000000000000000000] SSL engine vcoreeng initialized
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] SSL engine vpkcs11 initialized
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] OpenSSL Engines loading completed...
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Registered Engine [rdrand]
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Registered Engine [dynamic]
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Registered Engine [vcoreeng]
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Registered Engine [vpkcs11]
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Default APIGateway RSA Engine [vcoreeng]
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Default APIGateway DSA Engine [vcoreeng]
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Default APIGateway RAND Engine [vcoreeng]
INFO    08/Mar/2022:01:09:42.698 [0001:000000000000000000000000] Default APIGateway DH Engine [vcoreeng]
INFO    08/Mar/2022:01:09:45.802 [0001:000000000000000000000000] Attempting to connect to entity store at federated:file:////opt/Axway/apigateway/groups/emt-group/emt-service/../conf/769e2f3e-042c-422b-8238-9b36a0664ade/configs.xml
INFO    08/Mar/2022:01:09:58.984 [0001:000000000000000000000000] Starting environmentalization of '8' entities...
INFO    08/Mar/2022:01:09:58.991 [0001:000000000000000000000000]     Environmentalizing entity 'Create an Open ID Connect ID Token' type 'CreateIDTokenFilter' :-
INFO    08/Mar/2022:01:09:58.996 [0001:000000000000000000000000]         jwtSigner[0] = CN=Change this for production (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:58.999 [0001:000000000000000000000000]     Environmentalizing entity 'Connect to URL' type 'ConnectToURLFilter' :-
INFO    08/Mar/2022:01:09:59.000 [0001:000000000000000000000000]         caCerts[0] = CN=Change this for production (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:59.002 [0001:000000000000000000000000]     Environmentalizing entity 'Portal Traffic HTTPS Interface' type 'SSLInterface' :-
INFO    08/Mar/2022:01:09:59.003 [0001:000000000000000000000000]         serverCert[0] = CN=Change this for production (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:59.004 [0001:000000000000000000000000]     Environmentalizing entity 'API Portal Port' type 'SSLInterface' :-
INFO    08/Mar/2022:01:09:59.005 [0001:000000000000000000000000]         serverCert[0] = CN=Change this for production (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:59.084 [0001:000000000000000000000000]     Environmentalizing entity 'Call Token Service' type 'ConnectToURLFilter' :-
INFO    08/Mar/2022:01:09:59.087 [0001:000000000000000000000000]         caCerts[0] = CN=StartCom Class 2 Primary Intermediate Server CA,OU=Secure Digital Certificate Signing,O=StartCom Ltd.,C=IL (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:59.091 [0001:000000000000000000000000]     Environmentalizing entity 'Create an Open ID Connect ID Token' type 'CreateIDTokenFilter' :-
INFO    08/Mar/2022:01:09:59.092 [0001:000000000000000000000000]         jwtSigner[0] = CN=Change this for production (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:59.094 [0001:000000000000000000000000]     Environmentalizing entity '3. Sign the Response' type 'GenerateSignatureFilter' :-
INFO    08/Mar/2022:01:09:59.095 [0001:000000000000000000000000]         signingCert[0] = Samples Test Certificate (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:59.182 [0001:000000000000000000000000]     Environmentalizing entity 'OAuth 2.0 Interface' type 'SSLInterface' :-
INFO    08/Mar/2022:01:09:59.185 [0001:000000000000000000000000]         serverCert[0] = CN=Change this for production (reference to type 'Certificate')
INFO    08/Mar/2022:01:09:59.185 [0001:000000000000000000000000] Completed environmentalization of '8' entities
INFO    08/Mar/2022:01:10:01.305 [0001:000000000000000000000000] unload 0 modules from [local]-0-[local]
INFO    08/Mar/2022:01:10:01.383 [0001:000000000000000000000000]     RMI socket connect timeout: 500ms
INFO    08/Mar/2022:01:10:05.998 [0001:000000000000000000000000]     Transaction event logging enabled
INFO    08/Mar/2022:01:10:05.998 [0001:000000000000000000000000]     Transaction event logging file: /opt/Axway/apigateway/events
INFO    08/Mar/2022:01:10:06.000 [0001:000000000000000000000000]     Open Traffic Event log disabled
INFO    08/Mar/2022:01:10:06.288 [0001:000000000000000000000000]     Realtime monitoring enabled
INFO    08/Mar/2022:01:10:06.305 [0001:000000000000000000000000]     ssl shutdown policy: simplex
INFO    08/Mar/2022:01:10:06.599 [0001:000000000000000000000000]     keypairs configured
INFO    08/Mar/2022:01:10:07.693 [0001:000000000000000000000000]     Certificate 'CN=StartCom Class 2 Primary Intermediate Server CA,OU=Secure Digital Certificate Signing,O=StartCom Ltd.,C=IL' is expired
INFO    08/Mar/2022:01:10:07.698 [0001:000000000000000000000000]     Certificate 'CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R2' is expired
INFO    08/Mar/2022:01:10:08.101 [0001:000000000000000000000000]     Certificate 'CN=Cybertrust Global Root,O=Cybertrust\, Inc' is expired
INFO    08/Mar/2022:01:10:08.199 [0001:000000000000000000000000]     cert store configured
INFO    08/Mar/2022:01:10:08.285 [0001:000000000000000000000000]     Loading KPS configuration.
INFO    08/Mar/2022:01:10:19.803 [0001:000000000000000000000000]         Using existing Cassandra keyspace: xapimuat_axway_group
INFO    08/Mar/2022:01:10:20.141 [0001:000000000000000000000000]     Cassandra keyspace: xapimuat_axway_group
INFO    08/Mar/2022:01:10:20.141 [0001:000000000000000000000000]     Cassandra hosts: cassandra
INFO    08/Mar/2022:01:10:20.141 [0001:000000000000000000000000]     Authentication configured for Cassandra connection with username: cassandra
INFO    08/Mar/2022:01:10:20.141 [0001:000000000000000000000000]     Checking for passphrase changes...
INFO    08/Mar/2022:01:10:21.000 [0001:000000000000000000000000]     No passphrase changes detected.
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     The Passphrase Scheme has changed, the following store(s) use(s) the old mechanism.
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalUserStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalConfigStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	OAuth_Authorizations
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Server_PortalApplicationStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalOrganizationStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalAPIMethod
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalActionQueue
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Server_PortalApiKeyStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	OAuth_AccessTokens
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalApiQuotaDetailsStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalIdentityStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalApiQuotaConstraintStore
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalRegistrationToken
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalTimestamp
INFO    08/Mar/2022:01:10:21.001 [0001:000000000000000000000000]     	API Portal_PortalVirtualizedAPIMethod
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	OAuth_RefreshTokens
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalUserStoreLDAP
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Server_PortalExternalClientStore
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalApiAccessStore
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_ApiAppPolicyBindings
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	OAuth_ClientRefreshTokens
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalApplicationPermissionStore
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_ApiPolicyParameters
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalApiQuotaStore
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	OAuth_ClientAccessTokens
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalVirtualizedAPI
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Server_PortalOAuthResourcesStore
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Server_PortalOAuthStore
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalExports
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	OAuth_AuthZCodes
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalRemoteHost
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_ApiOrgPolicyBindings
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalOrganizationStoreLDAP
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalAPI
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     Re-encryption is recommended, but not required for operation.
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     All new data will be encrypted using the new scheme.
INFO    08/Mar/2022:01:10:23.599 [0001:000000000000000000000000]     Configuring API Manager Event Notifier
INFO    08/Mar/2022:01:10:23.684 [0001:000000000000000000000000]     API Manager Event Notifier [ffac26620100a5434464db8f]
INFO    08/Mar/2022:01:10:23.786 [0001:000000000000000000000000]     Configuring VAPI Catalog [ffac266202006e6f30ec0327]
INFO    08/Mar/2022:01:10:23.786 [0001:000000000000000000000000]     Dispatching load of VAPI Catalog [ffac266202006e6f30ec0327]...
INFO    08/Mar/2022:01:10:24.281 [0001:000000000000000000000000]     Completed dispatching load of VAPI Catalog [ffac266202006e6f30ec0327]
INFO    08/Mar/2022:01:10:24.486 [0001:000000000000000000000000]     Starting VAPI Lifecycle Scheduler
INFO    08/Mar/2022:01:10:24.787 [0001:000000000000000000000000]     Starting Trial Scheduler
INFO    08/Mar/2022:01:10:25.089 [0001:000000000000000000000000]     Starting API-Client-Cache
INFO    08/Mar/2022:01:10:25.184 [0001:000000000000000000000000]     API Manager Quota Cassandra keyspace is: xapimuat_axway_group
INFO    08/Mar/2022:01:10:25.187 [0001:000000000000000000000000]     Starting API Manager Asynchronous Executor
INFO    08/Mar/2022:01:10:28.988 [003e:ffac266202006e6f30ec0327] VAPI Catalog update is completed, 1 apis
INFO    08/Mar/2022:01:10:32.892 [0001:000000000000000000000000]     Reading API Manager metrics from database enabled
INFO    08/Mar/2022:01:10:32.895 [0001:000000000000000000000000]     No API connectors configured
INFO    08/Mar/2022:01:10:33.084 [0001:000000000000000000000000]     Initializing PassPort connection cache.
INFO    08/Mar/2022:01:10:33.101 [0001:000000000000000000000000]     Default tracing level set to INFO
